	chr	start	stop	num_variants
0	chr3	60157	1441779	9565.0
1	chr3	1441779	2992120	12945.0
2	chr3	2992120	4431647	10841.0
3	chr3	4431647	6083183	11781.0
4	chr3	6083183	7083387	6955.0
5	chr3	7083387	8648561	10538.0
6	chr3	8648561	9543183	5468.0
7	chr3	9543183	11019665	8212.0
8	chr3	11019665	13070799	11115.0
9	chr3	13070799	14816900	10131.0
10	chr3	14816900	16282442	7966.0
11	chr3	16282442	17891118	8384.0
12	chr3	17891118	19125144	5935.0
13	chr3	19125144	20091348	4370.0
14	chr3	20091348	21643707	10531.0
15	chr3	21643707	22204244	4923.0
16	chr3	22204244	23804865	9708.0
17	chr3	23804865	25461558	10878.0
18	chr3	25461558	26877769	7634.0
19	chr3	26877769	27840910	5888.0
20	chr3	27840910	29142260	6798.0
21	chr3	29142260	30717955	10056.0
22	chr3	30717955	32351715	9167.0
23	chr3	32351715	33255592	5540.0
24	chr3	33255592	35283458	10356.0
25	chr3	35283458	36486842	6466.0
26	chr3	36486842	38356116	8709.0
27	chr3	38356116	40221298	10347.0
28	chr3	40221298	41064528	3940.0
29	chr3	41064528	42540002	8728.0
30	chr3	42540002	45165153	10910.0
31	chr3	45165153	46657500	8741.0
32	chr3	46657500	47727212	3883.0
33	chr3	47727212	49316972	4682.0
34	chr3	49316972	51832015	8213.0
35	chr3	51832015	54081390	9712.0
36	chr3	54081390	55348860	7284.0
37	chr3	55348860	56433907	5760.0
38	chr3	56433907	58157519	8532.0
39	chr3	58157519	60272906	12113.0
40	chr3	60272906	62355666	12752.0
41	chr3	62355666	63669286	8146.0
42	chr3	63669286	65273538	9470.0
43	chr3	65273538	66270447	5203.0
44	chr3	66270447	68286914	11599.0
45	chr3	68286914	69276762	5520.0
46	chr3	69276762	70449028	6209.0
47	chr3	70449028	72529329	9999.0
48	chr3	72529329	74321817	10140.0
49	chr3	74321817	75704949	8225.0
50	chr3	75704949	77508835	9481.0
51	chr3	77508835	79024541	7381.0
52	chr3	79024541	81427310	11230.0
53	chr3	81427310	82643886	5503.0
54	chr3	82643886	84367479	8024.0
55	chr3	84367479	85582231	6712.0
56	chr3	85582231	87409732	10379.0
57	chr3	87409732	88298373	4722.0
58	chr3	88298373	94255316	15777.0
59	chr3	94255316	95311971	6236.0
60	chr3	95311971	98215950	15153.0
61	chr3	98215950	99373762	7407.0
62	chr3	99373762	100592217	6147.0
63	chr3	100592217	103084960	12731.0
64	chr3	103084960	104581613	9398.0
65	chr3	104581613	106982811	13802.0
66	chr3	106982811	109522395	12449.0
67	chr3	109522395	110513770	5163.0
68	chr3	110513770	112815699	12856.0
69	chr3	112815699	113947863	5574.0
70	chr3	113947863	115447080	6732.0
71	chr3	115447080	116800153	7068.0
72	chr3	116800153	118530251	9070.0
73	chr3	118530251	120523055	10147.0
74	chr3	120523055	121974097	7361.0
75	chr3	121974097	123517768	7758.0
76	chr3	123517768	124936642	7690.0
77	chr3	124936642	126214943	8626.0
78	chr3	126214943	128194861	9785.0
79	chr3	128194861	130244735	11167.0
80	chr3	130244735	131836516	8383.0
81	chr3	131836516	133252173	7630.0
82	chr3	133252173	135456906	10933.0
83	chr3	135456906	137371083	7865.0
84	chr3	137371083	139954597	11478.0
85	chr3	139954597	141339097	6957.0
86	chr3	141339097	143164628	9076.0
87	chr3	143164628	144410816	6663.0
88	chr3	144410816	145664619	7345.0
89	chr3	145664619	146726629	6040.0
90	chr3	146726629	149043237	11849.0
91	chr3	149043237	150252004	6338.0
92	chr3	150252004	151348730	5607.0
93	chr3	151348730	153256571	9765.0
94	chr3	153256571	154714218	7246.0
95	chr3	154714218	156008700	6456.0
96	chr3	156008700	157312028	6217.0
97	chr3	157312028	159477890	10272.0
98	chr3	159477890	161524504	9686.0
99	chr3	161524504	163253205	11062.0
100	chr3	163253205	165055469	8948.0
101	chr3	165055469	167117429	11901.0
102	chr3	167117429	168580960	6153.0
103	chr3	168580960	170964909	12049.0
104	chr3	170964909	172295731	7185.0
105	chr3	172295731	173477285	5655.0
106	chr3	173477285	175116539	9763.0
107	chr3	175116539	176320287	6912.0
108	chr3	176320287	178107165	9523.0
109	chr3	178107165	179374586	6416.0
110	chr3	179374586	181511166	9208.0
111	chr3	181511166	183769683	10491.0
112	chr3	183769683	185068255	6931.0
113	chr3	185068255	186890344	9342.0
114	chr3	186890344	188856214	10725.0
115	chr3	188856214	190226607	9189.0
116	chr3	190226607	192343814	13968.0
117	chr3	192343814	194059671	9793.0
118	chr3	194059671	194786674	5868.0
119	chr3	194786674	195971408	8932.0
120	chr3	195971408	197075987	6712.0
121	chr3	197075987	197946622	5230.0
